year,month,date,temp_C,site
2019,6,20190622,16.62,AQUE
2019,6,20190622,16.79,MOHK
2019,6,20190623,16.86,ABUR
2019,6,20190623,16.62,AQUE
2019,6,20190623,16.88,MOHK
2019,6,20190624,17,ABUR
2019,6,20190624,16.48,AQUE
2019,6,20190624,17.01,MOHK
2019,6,20190625,17.38,ABUR
2019,6,20190625,16.66,AQUE
2019,6,20190625,17.38,MOHK
2019,6,20190626,17.69,ABUR
2019,6,20190626,16.67,AQUE
2019,6,20190626,17.7,MOHK
2019,6,20190627,18.1,ABUR
2019,6,20190627,17.04,AQUE
2019,6,20190627,18.1,MOHK
2019,6,20190628,17.96,ABUR
2019,6,20190628,17.08,AQUE
2019,6,20190628,17.93,MOHK
2019,6,20190629,17.71,ABUR
2019,6,20190629,17.13,AQUE
2019,6,20190629,17.68,MOHK
2019,6,20190630,17.9,ABUR
2019,6,20190630,17.15,AQUE
2019,6,20190630,17.89,MOHK
2019,7,20190701,17.92,ABUR
2019,7,20190701,16.61,AQUE
2019,7,20190701,17.94,MOHK
2019,7,20190702,18.2,ABUR
2019,7,20190702,16.72,AQUE
2019,7,20190702,18.21,MOHK
2019,7,20190703,18.3,ABUR
2019,7,20190703,16.87,AQUE
2019,7,20190703,18.31,MOHK
2019,7,20190704,16.93,ABUR
2019,7,20190704,15.24,AQUE
2019,7,20190704,16.97,MOHK
2019,7,20190705,16.64,ABUR
2019,7,20190705,15.17,AQUE
2019,7,20190705,16.68,MOHK
2019,7,20190706,16.48,ABUR
2019,7,20190706,15.92,AQUE
2019,7,20190706,16.51,MOHK
2019,7,20190707,16.1,ABUR
2019,7,20190707,16.18,AQUE
2019,7,20190707,16.14,MOHK
2019,7,20190708,16.15,ABUR
2019,7,20190708,16.15,AQUE
2019,7,20190708,16.18,MOHK
2019,7,20190709,16.19,ABUR
2019,7,20190709,15.94,AQUE
2019,7,20190709,16.23,MOHK
2019,7,20190710,16.9,ABUR
2019,7,20190710,15.83,AQUE
2019,7,20190710,16.9,MOHK
2019,7,20190711,17.14,ABUR
2019,7,20190711,16.48,AQUE
2019,7,20190711,17.14,MOHK
2019,7,20190712,17.67,ABUR
2019,7,20190712,16.88,AQUE
2019,7,20190712,17.68,MOHK
2019,7,20190713,17.59,ABUR
2019,7,20190713,16.38,AQUE
2019,7,20190713,17.61,MOHK
2019,7,20190714,17.62,ABUR
2019,7,20190714,16.4,AQUE
2019,7,20190714,17.65,MOHK
2019,7,20190715,17.7,ABUR
2019,7,20190715,16.53,AQUE
2019,7,20190715,17.73,MOHK
2019,7,20190716,17.27,ABUR
2019,7,20190716,16.22,AQUE
2019,7,20190716,17.3,MOHK
2019,7,20190717,17.04,ABUR
2019,7,20190717,15.86,AQUE
2019,7,20190717,17.08,MOHK
2019,7,20190718,17.03,ABUR
2019,7,20190718,15.72,AQUE
2019,7,20190718,17.07,MOHK
2019,7,20190719,17.13,ABUR
2019,7,20190719,15.59,AQUE
2019,7,20190719,17.18,MOHK
2019,7,20190720,18.08,ABUR
2019,7,20190720,17.2,AQUE
2019,7,20190720,18.12,MOHK
2019,7,20190721,18.34,ABUR
2019,7,20190721,17.39,AQUE
2019,7,20190721,18.38,MOHK
2019,7,20190722,18.38,ABUR
2019,7,20190722,17.43,AQUE
2019,7,20190722,18.4,MOHK
2019,7,20190723,18.68,ABUR
2019,7,20190723,17.82,AQUE
2019,7,20190723,18.7,MOHK
2019,7,20190724,19,ABUR
2019,7,20190724,18.06,AQUE
2019,7,20190724,19.03,MOHK
2019,7,20190725,18.86,ABUR
2019,7,20190725,18.1,AQUE
2019,7,20190725,18.87,MOHK
2019,7,20190726,18.93,ABUR
2019,7,20190726,17.88,AQUE
2019,7,20190726,18.91,MOHK
2019,7,20190727,18.98,ABUR
2019,7,20190727,17.44,AQUE
2019,7,20190727,18.98,MOHK
2019,7,20190728,17.85,ABUR
2019,7,20190728,15.76,AQUE
2019,7,20190728,17.9,MOHK
2019,7,20190729,17.75,ABUR
2019,7,20190729,15.5,AQUE
2019,7,20190729,17.8,MOHK
2019,7,20190730,17.69,ABUR
2019,7,20190730,15.32,AQUE
2019,7,20190730,17.75,MOHK
2019,7,20190731,18.19,ABUR
2019,7,20190731,15.61,AQUE
2019,7,20190731,18.27,MOHK
2019,8,20190801,18.11,ABUR
2019,8,20190801,15.72,AQUE
2019,8,20190801,18.18,MOHK
2019,8,20190802,17.41,ABUR
2019,8,20190802,15.59,AQUE
2019,8,20190802,17.46,MOHK
2019,8,20190803,17.39,ABUR
2019,8,20190803,15.61,AQUE
2019,8,20190803,17.44,MOHK
2019,8,20190804,17.29,ABUR
2019,8,20190804,15.76,AQUE
2019,8,20190804,17.33,MOHK
2019,8,20190805,16.54,ABUR
2019,8,20190805,15.14,AQUE
2019,8,20190805,16.58,MOHK
2019,8,20190806,16.33,ABUR
2019,8,20190806,15.03,AQUE
2019,8,20190806,16.37,MOHK
2019,8,20190807,16.4,ABUR
2019,8,20190807,14.93,AQUE
2019,8,20190807,16.44,MOHK
2019,8,20190808,16.66,ABUR
2019,8,20190808,14.93,AQUE
2019,8,20190808,16.71,MOHK
2019,8,20190809,16.97,ABUR
2019,8,20190809,15.1,AQUE
2019,8,20190809,17.02,MOHK
2019,8,20190810,17.18,ABUR
2019,8,20190810,15.33,AQUE
2019,8,20190810,17.24,MOHK
2019,8,20190811,16.61,ABUR
2019,8,20190811,15.16,AQUE
2019,8,20190811,16.64,MOHK
2019,8,20190812,16.12,ABUR
2019,8,20190812,14.92,AQUE
2019,8,20190812,16.15,MOHK
2019,8,20190813,16.32,ABUR
2019,8,20190813,15.38,AQUE
2019,8,20190813,16.35,MOHK
2019,8,20190814,16.47,ABUR
2019,8,20190814,15.55,AQUE
2019,8,20190814,16.5,MOHK
2019,8,20190815,16.48,ABUR
2019,8,20190815,15.65,AQUE
2019,8,20190815,16.5,MOHK
2019,8,20190816,16.75,ABUR
2019,8,20190816,15.94,AQUE
2019,8,20190816,16.77,MOHK
2019,8,20190817,17.43,ABUR
2019,8,20190817,16.35,AQUE
2019,8,20190817,17.46,MOHK
2019,8,20190818,18.6,ABUR
2019,8,20190818,17.25,AQUE
2019,8,20190818,18.64,MOHK
2019,8,20190819,18.92,ABUR
2019,8,20190819,17.46,AQUE
2019,8,20190819,18.97,MOHK
2019,8,20190820,19.03,ABUR
2019,8,20190820,17.65,AQUE
2019,8,20190820,19.07,MOHK
2019,8,20190821,19.07,ABUR
2019,8,20190821,17.84,AQUE
2019,8,20190821,19.1,MOHK
2019,8,20190822,19.44,ABUR
2019,8,20190822,18.32,AQUE
2019,8,20190822,19.45,MOHK
2019,8,20190823,19.66,ABUR
2019,8,20190823,18.36,AQUE
2019,8,20190823,19.68,MOHK
2019,8,20190824,19.44,ABUR
2019,8,20190824,17.96,AQUE
2019,8,20190824,19.47,MOHK
2019,8,20190825,19.86,ABUR
2019,8,20190825,18.62,AQUE
2019,8,20190825,19.89,MOHK
2019,8,20190826,20.28,ABUR
2019,8,20190826,19.19,AQUE
2019,8,20190826,20.33,MOHK
2019,8,20190827,20.18,ABUR
2019,8,20190827,19.28,AQUE
2019,8,20190827,20.25,MOHK
2019,8,20190828,20.15,ABUR
2019,8,20190828,19.2,AQUE
2019,8,20190828,20.23,MOHK
2019,8,20190829,20.27,ABUR
2019,8,20190829,19.12,AQUE
2019,8,20190829,20.32,MOHK
2019,8,20190830,20.42,ABUR
2019,8,20190830,19.05,AQUE
2019,8,20190830,20.45,MOHK
2019,8,20190831,20.4,ABUR
2019,8,20190831,19.09,AQUE
2019,8,20190831,20.42,MOHK
2019,9,20190901,19.85,ABUR
2019,9,20190901,19.34,AQUE
2019,9,20190901,19.85,MOHK
2019,9,20190902,19.87,ABUR
2019,9,20190902,19.62,AQUE
2019,9,20190902,19.86,MOHK
2019,9,20190903,19.71,ABUR
2019,9,20190903,19.54,AQUE
2019,9,20190903,19.68,MOHK
2019,9,20190904,19.73,ABUR
2019,9,20190904,19.38,AQUE
2019,9,20190904,19.72,MOHK
2019,9,20190905,19.72,ABUR
2019,9,20190905,19.03,AQUE
2019,9,20190905,19.74,MOHK
2019,9,20190906,19.62,ABUR
2019,9,20190906,18.29,AQUE
2019,9,20190906,19.63,MOHK
2019,9,20190907,19.8,ABUR
2019,9,20190907,18.43,AQUE
2019,9,20190907,19.81,MOHK
2019,9,20190908,19.81,ABUR
2019,9,20190908,18.32,AQUE
2019,9,20190908,19.82,MOHK
2019,9,20190909,19.18,ABUR
2019,9,20190909,18.44,AQUE
2019,9,20190909,19.22,MOHK
2019,9,20190910,19.12,ABUR
