year,month,day,MJO_120W
2006,2,22,1.19
2006,2,27,-0.32
2006,3,4,-0.36
2006,3,9,-0.04
2006,3,14,-0.54
2006,3,19,0.36
2006,3,24,0.21
2006,3,29,-0.83
2006,4,3,-0.54
2006,4,8,0.4
2006,4,13,0.7
2006,4,18,-0.3
2006,4,23,-0.46
2006,4,28,-0.13
2006,5,3,-0.27
2006,5,8,0.49
2006,5,13,0.69
2006,5,18,1.76
2006,5,23,0.39
2006,5,28,-0.58
2006,6,2,0.38
2006,6,7,1
2006,6,12,1.1
2006,6,17,0.22
2006,6,22,0.56
2006,6,27,-1.14
2006,7,2,-1.29
2006,7,7,-0.87
2006,7,12,-0.15
2006,7,17,-0.12
2006,7,22,-0.38
2006,7,27,0.44
2006,8,1,0.36
2006,8,6,-1.05
2006,8,11,-0.76
2006,8,16,-0.08
2006,8,21,0.29
2006,8,26,0.77
2006,8,31,0.5
2006,9,5,0.96
2006,9,10,0.63
2006,9,15,0.26
2006,9,20,-0.42
2006,9,25,-1.43
2006,9,30,-1.94
2006,10,5,-2.27
2006,10,10,0.48
2006,10,15,2.26
2006,10,20,2.56
2006,10,25,1.08
2006,10,30,0.02
2006,11,4,-0.22
2006,11,9,1.28
2006,11,14,1.74
2006,11,19,1.75
2006,11,24,0.05
2006,11,29,-0.55
2006,12,4,-0.19
2006,12,9,0.45
2006,12,14,0.7
2006,12,19,0.9
2006,12,24,1.22
2006,12,29,-0.3
2007,1,3,-1.58
2007,1,8,-1.31
2007,1,13,-1.06
2007,1,18,-0.43
2007,1,23,-0.55
2007,1,28,-0.22
2007,2,2,-0.7
2007,2,7,-0.08
2007,2,12,0.74
2007,2,17,1.29
2007,2,22,0.53
2007,2,27,-1.23
2007,3,4,-1.96
2007,3,9,-0.37
2007,3,14,-0.02
2007,3,19,-0.59
2007,3,24,-1.02
2007,3,29,-1.11
2007,4,3,0.62
2007,4,8,1.63
2007,4,13,0.56
2007,4,18,-0.04
2007,4,23,0.01
2007,4,28,0.1
2007,5,3,-0.76
2007,5,8,-0.99
2007,5,13,0.04
2007,5,18,-0.4
2007,5,23,1.13
2007,5,28,1.47
2007,6,2,1.9
2007,6,7,1.07
2007,6,12,0.72
2007,6,17,0.16
2007,6,22,-0.52
2007,6,27,-1.25
2007,7,2,-0.86
2007,7,7,-1.16
2007,7,12,0.96
2007,7,17,1.42
2007,7,22,2.09
2007,7,27,0.69
2007,8,1,-0.71
2007,8,6,-0.11
2007,8,11,-0.4
2007,8,16,0.33
2007,8,21,0.24
2007,8,26,1.33
2007,8,31,1.4
2007,9,5,0.49
2007,9,10,-0.88
2007,9,15,-0.77
2007,9,20,-0.83
2007,9,25,-0.74
2007,9,30,-0.49
2007,10,5,-0.05
2007,10,10,1.18
2007,10,15,1.35
2007,10,20,1.36
2007,10,25,0.18
2007,10,30,-0.73
2007,11,4,-0.45
2007,11,9,-0.88
2007,11,14,-1.36
2007,11,19,-1.36
2007,11,24,-0.96
2007,11,29,0.65
2007,12,4,2.87
2007,12,9,0.82
2007,12,14,0.75
2007,12,19,-0.05
2007,12,24,-1.7
2007,12,29,-1.45
2008,1,3,-1.29
2008,1,8,-0.14
2008,1,13,-0.31
2008,1,18,-0.55
2008,1,23,0.26
2008,1,28,0.34
2008,2,2,0.2
2008,2,7,-0.63
2008,2,12,-1.01
2008,2,17,0.61
2008,2,22,0.88
2008,2,27,0.7
2008,3,4,1.91
2008,3,9,2.38
2008,3,14,1.78
2008,3,19,-0.11
2008,3,24,-1.65
2008,3,29,-1.15
2008,4,3,1.21
2008,4,8,1.19
2008,4,13,0.44
2008,4,18,0.25
2008,4,23,0.42
2008,4,28,-0.07
2008,5,3,-0.72
2008,5,8,-1.01
2008,5,13,0.03
2008,5,18,0.51
2008,5,23,2.07
2008,5,28,0.93
2008,6,2,1.14
2008,6,7,0.5
2008,6,12,-0.24
2008,6,17,-0.18
2008,6,22,0.6
2008,6,27,1.1
2008,7,2,1.65
2008,7,7,1.35
2008,7,12,1.49
2008,7,17,1.19
2008,7,22,0.27
2008,7,27,-0.06
2008,8,1,-0.58
2008,8,6,-0.07
2008,8,11,0.55
2008,8,16,1.15
2008,8,21,1.23
2008,8,26,1.64
2008,8,31,1.1
2008,9,5,0.53
2008,9,10,-0.67
2008,9,15,-1.05
2008,9,20,-0.47
2008,9,25,-0.35
2008,9,30,1.45
2008,10,5,1.45
2008,10,10,1.33
2008,10,15,1.22
2008,10,20,0.14
2008,10,25,-1.35
2008,10,30,-1.31
2008,11,4,0.74
2008,11,9,0.29
2008,11,14,-0.38
2008,11,19,0.21
2008,11,24,-0.63
2008,11,29,0.45
2008,12,4,0.69
2008,12,9,0.15
2008,12,14,0.64
2008,12,19,1.05
2008,12,24,-0.12
2008,12,29,-0.84
2009,1,3,-0.2
2009,1,8,-0.66
2009,1,13,-0.44
2009,1,18,1.99
2009,1,23,1.45
2009,1,28,0.56
2009,2,2,-0.63
2009,2,7,-1.24
2009,2,12,-0.06
2009,2,17,0.33
2009,2,22,0.72
2009,2,27,0.19
2009,3,4,-0.13
2009,3,9,0.36
2009,3,14,0.44
2009,3,19,-1.27
